	image	clusterid	Morph	BinaryType
239	TIC0212344482_morp0.639.png	3	0.639	SemiDetached
240	TIC0143350469_morp0.564.png	3	0.564	SemiDetached
241	TIC0158417251_morp0.92.png	2	0.92	Ellipsoidal
242	TIC0092628706_morp0.032.png	1	0.032	Detached
243	TIC0083812531_morp0.559.png	3	0.559	SemiDetached
244	TIC0272781956_morp0.515.png	3	0.515	SemiDetached
245	TIC0022079739_morp0.458.png	0	0.458	SemiDetached
246	TIC0293151358_morp0.571.png	3	0.571	SemiDetached
247	TIC0271040947_morp0.068.png	1	0.068	Detached
248	TIC0060479151_morp0.528.png	3	0.528	SemiDetached
249	TIC0318986273_morp0.532.png	3	0.532	SemiDetached
250	TIC0038677487_morp0.343.png	0	0.343	Detached
251	TIC0284660677_morp0.627.png	2	0.627	SemiDetached
252	TIC0159897979_morp0.109.png	0	0.109	Detached
253	TIC0338465029_morp0.531.png	3	0.531	SemiDetached
254	TIC0270348090_morp0.23.png	1	0.23	Detached
255	TIC0441690583_morp0.288.png	0	0.288	Detached
256	TIC0456307422_morp0.444.png	3	0.444	SemiDetached
257	TIC0115693377_morp0.238.png	0	0.238	Detached
258	TIC0253657883_morp0.495.png	2	0.495	SemiDetached
259	TIC0070442570_morp0.303.png	1	0.303	Detached
260	TIC0319606464_morp0.395.png	0	0.395	Detached
261	TIC0344456744_morp0.695.png	2	0.695	SemiDetached
262	TIC0066563761_morp0.578.png	3	0.578	SemiDetached
263	TIC0292607284_morp0.294.png	1	0.294	Detached
264	TIC0281498280_morp0.427.png	3	0.427	SemiDetached
265	TIC0384742846_morp0.25.png	0	0.25	Detached
266	TIC0141148940_morp0.552.png	3	0.552	SemiDetached
267	TIC0387513120_morp0.862.png	2	0.862	Ellipsoidal
268	TIC0320333641_morp0.267.png	0	0.267	Detached
269	TIC0360824561_morp0.459.png	0	0.459	SemiDetached
270	TIC0279509403_morp0.858.png	2	0.858	Ellipsoidal
271	TIC0098853987_morp0.511.png	0	0.511	SemiDetached
272	TIC0271864083_morp0.509.png	0	0.509	SemiDetached
273	TIC0130158363_morp0.346.png	0	0.346	Detached
274	TIC0028290956_morp0.213.png	0	0.213	Detached
275	TIC0290476605_morp0.158.png	1	0.158	Detached
276	TIC0276935996_morp0.655.png	2	0.655	SemiDetached
277	TIC0275119073_morp0.619.png	0	0.619	SemiDetached
278	TIC0148612685_morp0.179.png	0	0.179	Detached
279	TIC0141914317_morp0.784.png	2	0.784	OverContact
280	TIC0283939331_morp0.235.png	1	0.235	Detached
281	TIC0250195155_morp0.244.png	0	0.244	Detached
282	TIC0468948126_morp0.517.png	3	0.517	SemiDetached
283	TIC0023328912_morp0.52.png	0	0.52	SemiDetached
284	TIC0430263572_morp0.554.png	0	0.554	SemiDetached
285	TIC0034145330_morp0.61.png	3	0.61	SemiDetached
286	TIC0157774304_morp0.11.png	1	0.11	Detached
287	TIC0271773721_morp0.2.png	1	0.2	Detached
288	TIC0273629437_morp0.619.png	3	0.619	SemiDetached
289	TIC0467167691_morp0.933.png	2	0.933	Ellipsoidal
290	TIC0254298146_morp0.771.png	2	0.771	OverContact
291	TIC0158016784_morp0.662.png	3	0.662	SemiDetached
292	TIC0154664604_morp0.752.png	2	0.752	OverContact
293	TIC0115443990_morp0.627.png	3	0.627	SemiDetached
294	TIC0124642273_morp0.415.png	0	0.415	SemiDetached
295	TIC0144440290_morp0.281.png	0	0.281	Detached
296	TIC0448913059_morp0.986.png	2	0.986	Ellipsoidal
297	TIC0199574208_morp0.264.png	0	0.264	Detached
298	TIC0373932701_morp0.295.png	1	0.295	Detached
299	TIC0362043085_morp0.249.png	1	0.249	Detached
300	TIC0349308842_morp0.384.png	1	0.384	Detached
301	TIC0232572560_morp0.679.png	3	0.679	SemiDetached
302	TIC0394179296_morp0.648.png	2	0.648	SemiDetached
303	TIC0300972613_morp0.479.png	3	0.479	SemiDetached
304	TIC0239262664_morp0.368.png	0	0.368	Detached
305	TIC0048450535_morp0.233.png	1	0.233	Detached
306	TIC0265579763_morp0.539.png	0	0.539	SemiDetached
307	TIC0382069435_morp0.579.png	3	0.579	SemiDetached
308	TIC0345170707_morp0.312.png	1	0.312	Detached
309	TIC0422246362_morp0.392.png	1	0.392	Detached
310	TIC0300654002_morp0.563.png	3	0.563	SemiDetached
311	TIC0229616860_morp0.158.png	1	0.158	Detached
312	TIC0315810194_morp0.581.png	3	0.581	SemiDetached
313	TIC0318966048_morp0.775.png	2	0.775	OverContact
314	TIC0232634196_morp0.661.png	3	0.661	SemiDetached
315	TIC0357979050_morp0.484.png	3	0.484	SemiDetached
316	TIC0138910382_morp0.341.png	0	0.341	Detached
317	TIC0268383780_morp0.487.png	3	0.487	SemiDetached
318	TIC0030562668_morp0.478.png	3	0.478	SemiDetached
319	TIC0238626074_morp0.188.png	1	0.188	Detached
320	TIC0450637853_morp0.784.png	2	0.784	OverContact
321	TIC0276935987_morp0.663.png	2	0.663	SemiDetached
322	TIC0178242590_morp0.545.png	3	0.545	SemiDetached
323	TIC0229889119_morp0.75.png	2	0.75	OverContact
324	TIC0192990023_morp0.702.png	3	0.702	OverContact
325	TIC0441567967_morp0.56.png	0	0.56	SemiDetached
326	TIC0373128383_morp0.542.png	3	0.542	SemiDetached
327	TIC0180730928_morp0.699.png	2	0.699	SemiDetached
328	TIC0063310637_morp0.593.png	3	0.593	SemiDetached
329	TIC0149603524_morp0.246.png	1	0.246	Detached
330	TIC0364186197_morp0.136.png	1	0.136	Detached
331	TIC0029706981_morp0.66.png	0	0.66	SemiDetached
332	TIC0233735068_morp0.209.png	1	0.209	Detached
333	TIC0231061733_morp0.709.png	3	0.709	OverContact
334	TIC0126232983_morp0.301.png	1	0.301	Detached
335	TIC0293689266_morp0.234.png	0	0.234	Detached
336	TIC0382188882_morp0.161.png	1	0.161	Detached
337	TIC0032150630_morp0.349.png	0	0.349	Detached
338	TIC0160484494_morp0.451.png	0	0.451	SemiDetached
339	TIC0118200081_morp0.522.png	3	0.522	SemiDetached
340	TIC0277104322_morp0.926.png	2	0.926	Ellipsoidal
341	TIC0442567883_morp0.579.png	3	0.579	SemiDetached
342	TIC0083113607_morp0.381.png	0	0.381	Detached
343	TIC0185236439_morp0.901.png	2	0.901	Ellipsoidal
344	TIC0087251422_morp0.167.png	0	0.167	Detached
345	TIC0307734817_morp0.339.png	0	0.339	Detached
346	TIC0038678931_morp0.133.png	1	0.133	Detached
347	TIC0086182628_morp0.091.png	1	0.091	Detached
348	TIC0400621146_morp0.591.png	0	0.591	SemiDetached
349	TIC0373328406_morp0.13.png	1	0.13	Detached
350	TIC0033742828_morp0.398.png	0	0.398	Detached
351	TIC0301022235_morp0.566.png	3	0.566	SemiDetached
352	TIC0140084919_morp1.011.png	2	1.011	Ellipsoidal
353	TIC0470275219_morp0.64.png	2	0.64	SemiDetached
354	TIC0242323067_morp0.587.png	3	0.587	SemiDetached
355	TIC0063454475_morp0.598.png	3	0.598	SemiDetached
356	TIC0035516889_morp0.515.png	3	0.515	SemiDetached
357	TIC0232063593_morp0.718.png	2	0.718	OverContact
358	TIC0150390189_morp0.461.png	0	0.461	SemiDetached
359	TIC0170735592_morp0.537.png	0	0.537	SemiDetached
360	TIC0253929719_morp0.405.png	0	0.405	SemiDetached
361	TIC0137408962_morp0.518.png	3	0.518	SemiDetached
362	TIC0077031413_morp0.415.png	0	0.415	SemiDetached
363	TIC0032830028_morp0.606.png	2	0.606	SemiDetached
364	TIC0240155327_morp0.217.png	1	0.217	Detached
365	TIC0352951628_morp0.633.png	3	0.633	SemiDetached
366	TIC0188590080_morp0.181.png	1	0.181	Detached
367	TIC0230017324_morp0.235.png	0	0.235	Detached
368	TIC0345482340_morp0.746.png	2	0.746	OverContact
369	TIC0363847487_morp0.304.png	0	0.304	Detached
370	TIC0157788279_morp0.859.png	2	0.859	Ellipsoidal
371	TIC0055524055_morp0.269.png	0	0.269	Detached
372	TIC0260269456_morp0.169.png	0	0.169	Detached
373	TIC0428735978_morp0.55.png	3	0.55	SemiDetached
374	TIC0403136932_morp0.75.png	2	0.75	OverContact
375	TIC0231275247_morp0.445.png	1	0.445	SemiDetached
376	TIC0281924357_morp0.044.png	1	0.044	Detached
377	TIC0288979840_morp0.382.png	3	0.382	Detached
378	TIC0138756003_morp0.616.png	3	0.616	SemiDetached
379	TIC0388436487_morp0.37.png	3	0.37	Detached
380	TIC0459971813_morp0.862.png	2	0.862	Ellipsoidal
381	TIC0267239205_morp0.608.png	0	0.608	SemiDetached
382	TIC0263074592_morp0.454.png	3	0.454	SemiDetached
383	TIC0353962058_morp0.603.png	3	0.603	SemiDetached
384	TIC0173795590_morp0.812.png	2	0.812	Ellipsoidal
385	TIC0358049707_morp0.329.png	0	0.329	Detached
386	TIC0346338553_morp0.226.png	1	0.226	Detached
387	TIC0390632932_morp0.957.png	2	0.957	Ellipsoidal
388	TIC0256368884_morp0.508.png	3	0.508	SemiDetached
389	TIC0050849800_morp0.587.png	3	0.587	SemiDetached
390	TIC0219435542_morp0.233.png	0	0.233	Detached
391	TIC0181150051_morp0.513.png	3	0.513	SemiDetached
392	TIC0286396160_morp0.336.png	0	0.336	Detached
393	TIC0164552564_morp0.466.png	2	0.466	SemiDetached
394	TIC0425864141_morp0.57.png	3	0.57	SemiDetached
395	TIC0175458611_morp0.757.png	2	0.757	OverContact
396	TIC0408351887_morp0.689.png	3	0.689	SemiDetached
397	TIC0121966220_morp0.379.png	1	0.379	Detached
398	TIC0148081650_morp0.577.png	2	0.577	SemiDetached
399	TIC0313506357_morp0.391.png	1	0.391	Detached
400	TIC0388179896_morp0.721.png	2	0.721	OverContact
401	TIC0196740034_morp0.523.png	3	0.523	SemiDetached
402	TIC0211412634_morp0.845.png	2	0.845	Ellipsoidal
403	TIC0451112995_morp0.282.png	1	0.282	Detached
404	TIC0398850090_morp0.107.png	0	0.107	Detached
405	TIC0402324760_morp0.808.png	2	0.808	Ellipsoidal
406	TIC0300104749_morp0.263.png	0	0.263	Detached
407	TIC0158561566_morp0.332.png	0	0.332	Detached
408	TIC0261261490_morp0.254.png	0	0.254	Detached
409	TIC0169815918_morp0.608.png	3	0.608	SemiDetached
410	TIC0307927495_morp0.157.png	1	0.157	Detached
411	TIC0229597404_morp0.174.png	1	0.174	Detached
412	TIC0121866154_morp0.26.png	1	0.26	Detached
413	TIC0122070918_morp0.697.png	3	0.697	SemiDetached
414	TIC0379783522_morp0.486.png	3	0.486	SemiDetached
415	TIC0339566276_morp0.646.png	3	0.646	SemiDetached
416	TIC0462267926_morp0.389.png	0	0.389	Detached
417	TIC0135085261_morp0.35.png	3	0.35	Detached
418	TIC0229715760_morp0.229.png	1	0.229	Detached
419	TIC0271164763_morp0.604.png	2	0.604	SemiDetached
420	TIC0358613523_morp0.545.png	3	0.545	SemiDetached
421	TIC0278678404_morp0.331.png	0	0.331	Detached
422	TIC0641169122_morp0.43.png	1	0.43	SemiDetached
423	TIC0255993777_morp0.651.png	3	0.651	SemiDetached
424	TIC0061381436_morp0.328.png	1	0.328	Detached
425	TIC0421714420_morp0.043.png	1	0.043	Detached
426	TIC0099391575_morp0.416.png	1	0.416	SemiDetached
427	TIC0229751802_morp0.622.png	2	0.622	SemiDetached
428	TIC0307304908_morp0.516.png	0	0.516	SemiDetached
429	TIC0300324638_morp0.458.png	0	0.458	SemiDetached
430	TIC0266394699_morp0.417.png	0	0.417	SemiDetached
431	TIC0426422372_morp0.182.png	1	0.182	Detached
432	TIC0422914426_morp0.715.png	2	0.715	OverContact
433	TIC0181226974_morp0.538.png	3	0.538	SemiDetached
434	TIC0310170498_morp0.857.png	2	0.857	Ellipsoidal
435	TIC0273043307_morp0.541.png	3	0.541	SemiDetached
436	TIC0033834253_morp0.55.png	3	0.55	SemiDetached
437	TIC0389728831_morp0.744.png	2	0.744	OverContact
438	TIC0137551461_morp0.564.png	3	0.564	SemiDetached
439	TIC0038937499_morp0.113.png	1	0.113	Detached
440	TIC0348538431_morp0.311.png	0	0.311	Detached
441	TIC0375422201_morp0.477.png	3	0.477	SemiDetached
442	TIC0394657039_morp0.34.png	1	0.34	Detached
443	TIC0272079818_morp0.972.png	2	0.972	Ellipsoidal
444	TIC0077030554_morp0.304.png	0	0.304	Detached
445	TIC0089787749_morp0.661.png	3	0.661	SemiDetached
446	TIC0218795833_morp0.305.png	1	0.305	Detached
447	TIC0405543959_morp0.904.png	2	0.904	Ellipsoidal
448	TIC0190693377_morp0.669.png	2	0.669	SemiDetached
449	TIC0297701617_morp0.307.png	0	0.307	Detached
450	TIC0372758722_morp0.418.png	0	0.418	SemiDetached
451	TIC0260502102_morp0.125.png	0	0.125	Detached
452	TIC0126586580_morp0.553.png	3	0.553	SemiDetached
453	TIC0452500843_morp0.712.png	0	0.712	OverContact
454	TIC0120566395_morp0.394.png	2	0.394	Detached
455	TIC0413376180_morp0.332.png	1	0.332	Detached
456	TIC0141766191_morp1.002.png	2	1.002	Ellipsoidal
457	TIC0149438705_morp0.465.png	2	0.465	SemiDetached
458	TIC0142013583_morp0.964.png	2	0.964	Ellipsoidal
459	TIC0309350921_morp0.24.png	1	0.24	Detached
460	TIC0122375269_morp0.56.png	3	0.56	SemiDetached
461	TIC0419744996_morp0.503.png	0	0.503	SemiDetached
462	TIC0255744818_morp0.603.png	3	0.603	SemiDetached
463	TIC0120826084_morp0.484.png	1	0.484	SemiDetached
464	TIC0257691369_morp0.029.png	1	0.029	Detached
465	TIC0242991317_morp0.593.png	3	0.593	SemiDetached
466	TIC0148544875_morp0.176.png	1	0.176	Detached
